rank,hotspot address,packet count,name,owner,lat,lng,location,reward scale,city,country
53,1124eFyDQXAHyGdqHkhripNBtEZPoecRDRN7UfpBffQz2LuBJ548,90735,stale-pineapple-millipede,14Tjbri93ZDy2qfGR8q3pxeJx8ckBPvLhgw29MLPywkNhC7bjkj,59.33758831684453,18.05752455397487,8c088661d1aedff,0.2281646728515625,Norrmalm,Sweden
54,11284sUCbfWwpwEXrW4WiTJBiQjQrDqYNSJs8CVmVp7egyeYQQBn,90467,massive-misty-bat,14Tjbri93ZDy2qfGR8q3pxeJx8ckBPvLhgw29MLPywkNhC7bjkj,59.305744407177144,17.963819909860646,8c08866159943ff,0.2935943603515625,Hägersten-Liljeholmen,Sweden
55,112cFiTRcRx92J7xUMpmd3L5u2ugbi9hpUdd29vqTTihp65gY7Qc,89722,fantastic-indigo-iguana,147NJDuX7sxGmuBwEKY41HVwSt5megocAs7yjHxvcAgxK3KoGb8,37.969599976033486,23.770137751477378,8c1eda74848b5ff,0.8359222412109375,Zografou,Greece
56,112Wixc6u2NUQe2cCJFU7U26pmquHFeBSZ8yjqFY8nqd25nsRSLQ,89474,plain-clear-meerkat,13kFHeY4H4WGYStDbYsawH5tB7NierCkWUuNdtnXYyRdykCppyr,44.80946195004853,20.434212943144264,8c1e1b28aa03bff,0.4678955078125,Beograd,Serbia
57,112iayRrgpvyds9gLXfCbL4YdKnSvxzzJJnnUYY9FuFuUkK8ymaw,88323,fresh-orange-rabbit,14ZmFxgWkPPaDXn8sz2VmGtS9vLGujouU9PbMULUCqrA83qofeB,44.81704493100927,20.4603219708369,8c1e1b28959d3ff,0.3899078369140625,Beograd,Serbia
58,11bFe8NXKkGjmbjPrUvqAzyr8ebRYvR1haKHe3LgJRip4zAirxS,88166,brave-shadow-goldfish,14BYUuFH1QaaabGbYDjHRadjgqDPi4JBUMDP6WQFYXo3CpEz463,39.34845549444657,-0.3170149846039743,8c3954721d66dff,1.0,Valencia,Spain
59,11Cfp2L6bB2DcdbScE9NidfLHcj7rMzmcZfGiMpi71EMZCu4v9m,87842,blurry-graphite-orangutan,14q7Wo1ArDqdH8zFGer38gBZr4W9GtVrsmYmoCmLwDfVURWxpPA,50.642480177166405,3.119200295789936,8c194d2830c53ff,1.0,Mons-en-Barœul,France
60,11J7jod2vZPpXD2XFiZQndcG3Lskq3iiMGi8r6DZGaBhJXfSZXP,86456,real-teal-cyborg,13qq8oZPpd6m4jr2bukQw1dKS4xxUZZCnH5VbrRbsdVjJeU9ABd,37.93224038843967,23.777244268335203,8c1eda664703dff,0.9174346923828125,Kentrikos Tomeas Athinon,Greece
61,11nkLzFAYnd1RbVEQGdZe42eTHUDkEixUsHHkypaax6pCD2E1hx,86226,feisty-sky-bobcat,142FHYD929cJKTFEqFo4zLeNQgiJ1tyL3Z5sSxDqYCFPd6gUibh,44.81472168780383,20.431300927027213,8c1e1b2884895ff,0.584869384765625,Beograd,Serbia
62,112X8US7son5SuAgTo3SsZwFUb3ibJzS9RZXVucRQyK4KZ1McXgz,85511,keen-burgundy-oyster,14t34uUsx6BfpZaMuQLKbKhxgocRUTqqxExZyXnE5GuJsjrRgR9,44.888154336568,20.456255305165023,8c1e1b2a981c5ff,0.3346710205078125,Beograd,Serbia
63,11cDMercsZDyiJBjYjEDVWdnpgPjZ3uneoProfQwvmPas5C7d9U,85477,restless-ruby-narwhal,14UQLGUxW2z5hEq54H76vLvPwougAkN22Ty65jD2EQvnCBjad74,44.81267478999618,20.400440094925543,8c1e1b29db0cbff,0.286865234375,Beograd,Serbia
64,11BkktpxEN7euuYDfkxgR4MJF1L6vxPFCH38wBU3du5MZixe8cZ,85038,dandy-brown-trout,14mCTTwoxh8f4pwVFPVE57bxMHJ9bVvVyBzHCrLfwTrD5nNjAMr,44.84045850388044,20.415774180606732,8c1e1b28c5769ff,0.632904052734375,Beograd,Serbia
65,11CXKN6W29b81c3s5AucBcd2Ha7RS9ja3tUebyJWEpRjdfCqvmD,85026,elegant-teal-chinchilla,13DvKHmreqn3jcC22d4TUiE6G4znqbMS2dZMBv1wU4H9r1GzuSf,50.584482752774505,8.67017784827006,8c1fac4700415ff,0.7102203369140625,Gießen,Germany
66,1126v9dJvG6eAze3JZoDybhGmodkeya9BF3fatoHgKwPeRkSYymd,84508,tiny-aegean-gerbil,14Hc9GTXmTyz8QLSa7AK4uoNV3UEFVG9dn1MbbNLtmbsN7jfdUS,38.06439218407822,23.856352105811034,8c1eda39bb5b1ff,1.0,Nea Penteli,Greece
